date,GEOCODE_MUNICIPIOS_DESPUES_2007,Población,Población. Edad media,Población. Edad media Densidad,Población Hombres,Población Mujeres,Población. Índice de feminidad,Población de nacionalidad española,Población de nacionalidad extranjera,Población de nacionalidad extranjera (%),Población de 0 a 14 años de edad,Población de 15 a 64 años de edad,Población de 65 o más años de edad,Población de 65 a 74 años de edad,Población de 75 a 84 años de edad,Población de 85 o más años de edad,Población de 0 a 14 años de edad (%),Población de 15 a 64 años de edad (%),Población de 65 o más años de edad (%),Población. Índice de dependencia,Población. Índice de dependencia mayores de 64 años,Población. Índice de dependencia menores de 15 años,Índice de Vejez,Índice de Juventud,Índice de Sobreenvejecimiento,Índice de Ancianidad,superficie,Densidad de Población,Densidad de Población Extranjera,Población de 0 a 2 años,Población de 3 a 5 años,Población de 6 a 11 años,Población de 12 a 15 años,Población de 16 a 17 años,Población de 0 a 17 años,Población. Nacidos en Canarias,Población. Nacidos en el resto de España,Población. Nacidos en el extranjero,Población. Nacidos en Canarias (%),Población. Nacidos en el resto de España (%),Población. Nacidos en el extranjero (%)
2020-01-01,35033,7569,45.313978068,45.313048496,3900,3669,94.076923077,7339,230,3.0387105298,792,5339,1438,794,448,196,10.46373365,70.537719646,18.998546704,41.768121371,26.93388275,14.834238621,181.56565657,55.076495132,13.630041725,31.154381085,3821.390000,198.06928892,6.0187523388,117,135,339,271,146,1008,6972,218,379,92.112564407,2.8801691108,5.0072664817
2020-01-01,35034,17040,38.173767606,38.173934022,8795,8245,93.746446845,10398,6642,38.978873239,2601,12813,1626,1111,413,102,15.264084507,75.193661972,9.5422535211,32.9899321,12.690236479,20.299695622,62.514417532,159.96309963,6.2730627306,25.399753998,21209.400000,80.341735268,31.316303149,472,539,1056,684,335,3086,5234,3788,8018,30.715962441,22.230046948,47.05399061
2020-01-01,38001,49030,39.16259433,39.159755101,24675,24355,98.703140831,25951,23079,47.07118091,6991,36984,5055,3274,1427,354,14.258617173,75.43136855,10.310014277,32.570841445,13.66807268,18.902768765,72.307252181,138.29871414,7.0029673591,28.229475767,10595.200000,462.75672002,217.82505285,1148,1337,3003,1944,931,8363,16905,5574,26551,34.478890475,11.368549867,54.152559657
2020-01-01,38002,1110,51.978378378,51.985713845,556,554,99.64028777,1059,51,4.5945945946,70,694,346,143,138,65,6.3063063063,62.522522523,31.171171171,59.942363112,49.855907781,10.086455331,494.28571429,20.231213873,18.786127168,39.884393064,2500.410000,44.392719594,2.0396654949,6,12,32,28,19,97,971,30,109,87.477477477,2.7027027027,9.8198198198
2020-01-01,38003,2026,45.606614018,45.604222452,1068,958,89.700374532,1762,264,13.030602172,216,1381,429,220,138,71,10.661401777,68.163869694,21.174728529,46.705286025,31.064446054,15.640839971,198.61111111,50.34965035,16.55011655,32.167832168,4960.680000,40.841175,5.3218510366,28,43,89,74,44,278,1531,120,375,75.567620928,5.9230009872,18.509378085
2020-01-01,38004,5593,44.068925443,44.062303361,2769,2824,101.98627663,5368,225,4.02288575,729,3854,1010,496,348,166,13.03414983,68.907563025,18.058287145,45.12195122,26.206538661,18.915412558,138.54595336,72.178217822,16.435643564,34.455445545,3436.180000,162.76795744,6.5479689655,101,133,328,228,119,909,4830,209,554,86.357947434,3.7368138745,9.9052386912
2020-01-01,38005,8111,43.699852053,43.70036618,4171,3940,94.46175977,6750,1361,16.779681913,987,5712,1412,774,471,167,12.168659845,70.422882505,17.40845765,41.99929972,24.719887955,17.279411765,143.0597771,69.900849858,11.827195467,33.35694051,17893.400000,45.329562856,7.6061564599,165,187,423,292,150,1217,5991,403,1717,73.862655653,4.9685612132,21.168783134
2020-01-01,38006,82777,40.361604069,40.362285526,42033,40744,96.933361882,50854,31923,38.565060343,11332,61277,10168,6467,2867,834,13.689793058,74.026601592,12.283605349,35.086574082,16.59350164,18.493072442,89.728203318,111.44767899,8.2022029898,28.196302124,8159.850000,1014.4426675,391.22042685,1820,2204,4674,3428,1522,13648,33403,8959,40415,40.352996605,10.823054713,48.823948681
2020-01-01,38007,1926,49.450155763,49.460327817,981,945,96.330275229,1801,125,6.4901349948,187,1203,536,221,194,121,9.7092419522,62.46105919,27.829698858,60.099750623,44.55527847,15.544472153,286.63101604,34.888059701,22.574626866,36.194029851,4349.520000,44.28074822,2.8738803362,18,34,84,71,40,247,1515,29,382,78.660436137,1.5057113188,19.833852544
2020-01-01,38008,7247,43.90209742,43.896586914,3530,3717,105.29745042,6803,444,6.1266731061,939,4981,1327,650,453,224,12.957085691,68.731889058,18.311025252,45.492872917,26.641236699,18.851636218,141.32055378,70.761115298,16.880180859,34.137151469,3089.340000,234.58084898,14.372001787,138,148,413,319,153,1171,5822,357,1068,80.336691045,4.9261763488,14.737132607
2020-01-01,38009,5821,43.271516921,43.26866225,2941,2880,97.925875553,5213,608,10.444940732,789,4057,975,515,332,128,13.554372101,69.695928535,16.749699364,43.48040424,24.032536357,19.447867883,123.57414449,80.923076923,13.128205128,34.051282051,1415.880000,411.1224115,42.941492217,134,150,352,201,102,939,4174,540,1107,71.705892458,9.276756571,19.017350971
2020-01-01,38010,4786,47.327831174,47.336177586,2402,2384,99.25062448,4514,272,5.6832427915,473,3168,1145,571,388,186,9.8829920602,66.193063101,23.923944839,51.073232323,36.142676768,14.930555556,242.07188161,41.310043668,16.244541485,33.886462882,6636.410000,72.117304386,4.0986015029,80,98,193,138,65,574,4085,132,569,85.353113247,2.7580442959,11.888842457
2020-01-01,38011,28383,42.318095339,42.316729633,13774,14609,106.06214607,26270,2113,7.444597118,4086,19768,4529,2525,1455,549,14.395941232,69.647324102,15.956734665,43.580534197,22.910764873,20.669769324,110.84189917,90.218591301,12.12188121,32.126297196,4948.050000,573.61991087,42.703691353,609,805,1726,1245,566,4951,20746,3097,4540,73.093048656,10.911461086,15.995490258
2020-01-01,38012,2818,47.410220014,47.40941022,1475,1343,91.050847458,2625,193,6.8488289567,295,1855,668,306,258,104,10.468417317,65.826827537,23.704755145,51.913746631,36.010781671,15.90296496,226.44067797,44.161676647,15.568862275,38.622754491,4524.910000,62.277481762,4.2652782044,48,48,119,105,48,368,2341,106,371,83.07310149,3.7615330021,13.165365507
2020-01-01,38013,4184,45.392208413,45.398457407,2095,2089,99.713603819,3511,673,16.085086042,485,2754,945,449,342,154,11.591778203,65.822179732,22.586042065,51.924473493,34.31372549,17.610748003,194.84536082,51.322751323,16.296296296,36.19047619,8150.900000,51.331754776,8.2567569225,75,94,217,140,82,608,2636,207,1341,63.001912046,4.947418738,32.050669216
2020-01-01,38014,1751,46.662193033,46.660205902,874,877,100.34324943,1554,197,11.250713878,181,1151,419,194,146,79,10.336950314,65.733866362,23.929183324,52.12858384,36.403127715,15.725456125,231.49171271,43.198090692,18.854415274,34.844868735,5590.020000,31.323680416,3.5241376596,29,38,81,47,36,231,1346,72,333,76.870359794,4.1119360366,19.017704169
