date,GEOCODE_MUNICIPIOS_ANTES_2007,Población,Población. Edad media,Población. Edad media Densidad,Población Hombres,Población Mujeres,Población. Índice de feminidad,Población de nacionalidad española,Población de nacionalidad extranjera,Población de nacionalidad extranjera (%),Población de 0 a 14 años de edad,Población de 15 a 64 años de edad,Población de 65 o más años de edad,Población de 65 a 74 años de edad,Población de 75 a 84 años de edad,Población de 85 o más años de edad,Población de 0 a 14 años de edad (%),Población de 15 a 64 años de edad (%),Población de 65 o más años de edad (%),Población. Índice de dependencia,Población. Índice de dependencia mayores de 64 años,Población. Índice de dependencia menores de 15 años,Índice de Vejez,Índice de Juventud,Índice de Sobreenvejecimiento,Índice de Ancianidad,superficie,Densidad de Población,Densidad de Población Extranjera,Población de 0 a 2 años,Población de 3 a 5 años,Población de 6 a 11 años,Población de 12 a 15 años,Población de 16 a 17 años,Población de 0 a 17 años,Población. Nacidos en Canarias,Población. Nacidos en el resto de España,Población. Nacidos en el extranjero,Población. Nacidos en Canarias (%),Población. Nacidos en el resto de España (%),Población. Nacidos en el extranjero (%)
2007-01-01,38013,5644,43.143869596,43.151525294,2845,2799,98.383128295,4874,770,13.64280652,764,3721,1159,634,369,156,13.536498937,65.928419561,20.535081502,51.679656006,31.147540984,20.532115023,151.70157068,65.9188956,13.459879206,31.837791199,16428.900000,34.354095527,4.6868627845,124,142,321,231,97,915,3861,286,1497,68.408929837,5.0673281361,26.523742027
2007-01-01,38014,1964,43.560081466,43.555715403,997,967,96.990972919,1795,169,8.6048879837,245,1291,428,195,172,61,12.474541752,65.733197556,21.792260692,52.130131681,33.152594888,18.977536793,174.69387755,57.242990654,14.252336449,40.186915888,5590.020000,35.134042454,3.0232449973,40,55,103,72,26,296,1630,64,270,82.99389002,3.2586558045,13.747454175
2007-01-01,38015,5446,43.003856041,43.006252666,2713,2733,100.7371913,5209,237,4.351817848,617,3792,1037,574,368,95,11.329416085,69.629085567,19.041498347,43.61814346,27.347046414,16.271097046,168.0713128,59.49855352,9.1610414658,35.486981678,2743.200000,198.52726742,8.6395450569,105,126,246,196,103,776,4696,162,588,86.228424532,2.9746603011,10.796915167
2007-01-01,38016,1849,48.192806923,48.181992301,948,901,95.042194093,1588,261,14.115738237,182,1142,525,241,198,86,9.843158464,61.763115197,28.393726339,61.908931699,45.971978984,15.936952715,288.46153846,34.666666667,16.380952381,37.714285714,10258.400000,18.024253295,2.5442564143,30,30,69,73,33,235,1451,59,339,78.474851271,3.1909140076,18.334234721
2007-01-01,38017,36224,35.396311837,35.398313528,18692,17532,93.794136529,26845,9379,25.891674028,5971,27271,2982,1837,896,249,16.48354682,75.284341873,8.2321113074,32.829745884,10.934692531,21.895053353,49.941383353,200.23474178,8.3501006036,30.046948357,16250.400000,222.91143603,57.715502388,1088,1323,2354,1621,874,7260,20531,4868,10825,56.67789311,13.43860424,29.88350265
2007-01-01,38018,5379,41.019613311,41.018077883,2638,2741,103.90447309,5198,181,3.3649377208,706,3771,902,511,316,75,13.125116193,70.105967652,16.768916155,42.641209228,23.919384779,18.72182445,127.76203966,78.270509978,8.3148558758,35.033259424,2380.470000,225.96378026,7.6035404773,137,140,280,206,141,904,4922,59,398,91.503997025,1.0968581521,7.3991448225
2007-01-01,38019,19261,37.482140076,37.479302813,9724,9537,98.076923077,15426,3835,19.910700379,3182,13835,2244,1403,652,189,16.520429884,71.829084679,11.650485437,39.21937116,16.219732562,22.999638598,70.521684475,141.80035651,8.422459893,29.055258467,14410.200000,133.66226701,26.613093503,482,681,1327,928,493,3911,13565,996,4700,70.427288303,5.1710710763,24.401640621
2007-01-01,38020,16837,40.532309794,40.536664285,8274,8563,103.49286923,16156,681,4.0446635386,2323,11757,2757,1514,964,279,13.796994714,69.82835422,16.374651066,43.208301437,23.449859658,19.758441779,118.68273784,84.258251723,10.119695321,34.965542256,10288.800000,163.64396237,6.618847679,429,490,925,666,366,2876,14754,653,1430,87.62843737,3.8783631288,8.4931995011
2007-01-01,38021,2170,45.704608295,45.715847677,1100,1070,97.272727273,2008,162,7.465437788,211,1465,494,226,196,72,9.7235023041,67.511520737,22.764976959,48.122866894,33.720136519,14.402730375,234.12322275,42.712550607,14.574898785,39.67611336,3915.870000,55.415527073,4.1370116985,35,32,97,64,33,261,1912,55,203,88.110599078,2.534562212,9.3548387097
2007-01-01,38022,24091,39.922647462,39.925081692,11922,12169,102.07180003,22572,1519,6.3052592254,3366,17183,3542,2073,1187,282,13.972022747,71.325391225,14.702586028,40.202525752,20.613396962,19.58912879,105.22875817,95.031055901,7.9616036138,33.512140034,9585.800000,251.31966033,15.846356068,545,649,1386,1071,634,4285,20594,480,3017,85.48420572,1.9924453115,12.523348968
2007-01-01,38023,144347,38.947193222,38.946359917,70981,73366,103.3600541,136664,7683,5.3225907016,19070,107250,18027,10422,5945,1660,13.211220185,74.300124007,12.488655809,34.589277389,16.808391608,17.780885781,94.530676455,105.7857658,9.2084096078,32.978310312,10245.200000,1408.9232031,74.991215398,2752,3228,8438,6251,3403,24072,121637,8948,13762,84.267078637,6.1989511386,9.5339702245
